voyageid,mjbyptimp,majbyimp,date_dep,mjslptimp,mjselimp,date_end
42844,Cape Verde Islands,Senegambia and offshore Atlantic,1565-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
41938,Portuguese Guinea,Senegambia and offshore Atlantic,,Puerto Rico; port unspecified,Puerto Rico,
42851,Cape Verde Islands,Senegambia and offshore Atlantic,1567-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
29571,Cape Verde Islands,Senegambia and offshore Atlantic,,Hispaniola; unspecified,Hispaniola,
98854,Africa.; port unspecified,Other Africa,1567-11-09,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,1567-09-??
98855,Africa.; port unspecified,Other Africa,1567-11-09,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,1567-09-??
98856,Africa.; port unspecified,Other Africa,1567-11-09,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,1567-09-??
98857,Africa.; port unspecified,Other Africa,1567-11-09,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,1567-09-??
98851,Sierra Leone; port unspecified,Sierra Leone,1567-10-02,Rio de la Hacha,Spanish Circum-Caribbean,
29544,Africa.; port unspecified,Other Africa,1568-??-??,,,
98846,Sierra Leone; port unspecified,Sierra Leone,1567-10-02,Rio de la Hacha,Spanish Circum-Caribbean,1569-02-??
98847,Sierra Leone; port unspecified,Sierra Leone,1567-10-02,Rio de la Hacha,Spanish Circum-Caribbean,
98848,Sierra Leone; port unspecified,Sierra Leone,1567-10-02,Rio de la Hacha,Spanish Circum-Caribbean,1569-??-??
98849,Sierra Leone; port unspecified,Sierra Leone,1567-10-02,Rio de la Hacha,Spanish Circum-Caribbean,
98850,Sierra Leone; port unspecified,Sierra Leone,1567-10-02,Rio de la Hacha,Spanish Circum-Caribbean,
42796,Albreda,Senegambia and offshore Atlantic,1569-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42852,Cape Verde Islands,Senegambia and offshore Atlantic,,Margarita,Spanish Circum-Caribbean,
42855,Cape Verde Islands,Senegambia and offshore Atlantic,1569-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42858,Cape Verde Islands,Senegambia and offshore Atlantic,1569-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42859,Cape Verde Islands,Senegambia and offshore Atlantic,1569-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42860,Cape Verde Islands,Senegambia and offshore Atlantic,1569-??-??,Veracruz,Spanish Circum-Caribbean,
41958,São Tomé,Bight of Biafra and Gulf of Guinea islands,,Hispaniola; unspecified,Hispaniola,
41959,São Tomé,Bight of Biafra and Gulf of Guinea islands,,Hispaniola; unspecified,Hispaniola,
42548,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1569-??-??,New Spain,Spanish Circum-Caribbean,
42743,Cape Verde Islands,Senegambia and offshore Atlantic,1570-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42861,Cape Verde Islands,Senegambia and offshore Atlantic,1570-??-??,Cartagena,Spanish Circum-Caribbean,
28053,Africa.; port unspecified,Other Africa,,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
33657,Africa.; port unspecified,Other Africa,,Margarita,Spanish Circum-Caribbean,
42862,Cape Verde Islands,Senegambia and offshore Atlantic,1571-??-??,Veracruz,Spanish Circum-Caribbean,
